缺陷ID,缺陷标题,严重程度,优先级,缺陷状态,缺陷类型,所属模块,关联用例,描述,复现步骤,实际结果,预期结果,根本原因,建议修复,创建时间,标签
DEF-001,测试失败: POST /api/auth/login - 正常,high,P2,new,authentication,auth,TC-API-001,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-001; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770829,
DEF-002,测试失败: POST /api/auth/login - 参数为空,high,P2,new,authentication,auth,TC-API-002,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-002; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770844,
DEF-003,测试失败: POST /api/auth/login - 参数错误,high,P2,new,authentication,auth,TC-API-003,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-003; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770856,
DEF-004,测试失败: POST /api/auth/login - 权限验证,high,P2,new,authentication,auth,TC-API-004,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-004; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770864,
DEF-005,测试失败: POST /api/auth/register - 正常,high,P2,new,authentication,auth,TC-API-005,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-005; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770873,
DEF-006,测试失败: POST /api/auth/register - 参数为空,high,P2,new,authentication,auth,TC-API-006,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-006; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770883,
DEF-007,测试失败: POST /api/auth/register - 参数错误,high,P2,new,authentication,auth,TC-API-007,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-007; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770890,
DEF-008,测试失败: POST /api/auth/register - 权限验证,high,P2,new,authentication,auth,TC-API-008,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-008; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770897,
DEF-009,测试失败: GET /api/users - 正常,low,P4,new,functional,users,TC-API-009,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-009; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770906,
DEF-010,测试失败: GET /api/users - 无数据,low,P4,new,functional,users,TC-API-010,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-010; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770915,
DEF-011,测试失败: GET /api/users - 权限验证,low,P4,new,functional,users,TC-API-011,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-011; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-22T09:49:03.770922,
